Combinación,Recall global (%),Recall buena cob. (%),Recall baja cob. (%),Pinball loss,Cob.p10 / R²,N extremos VAL,Recall >= 60%
IC_WI_ext_OLS,69.5,71.6,60.9,0.8334,0.281,118,✅
IC_WI_ext_QR,69.5,71.6,60.9,0.1699,7.2,118,✅
IC_WI_top5_OLS,35.6,38.9,21.7,0.6205,-0.02,118,❌
IC_WI_top5_QR,35.6,38.9,21.7,0.1715,8.6,118,❌
IC_WI_OLS,34.7,36.8,26.1,0.4489,-0.004,118,❌
IC_WI_QR,34.7,36.8,26.1,0.1774,8.4,118,❌
IC_WI_min2_OLS,36.4,36.8,34.8,0.5896,0.037,118,❌
IC_WI_min2_QR,36.4,36.8,34.8,0.1809,8.2,118,❌
IC_PCA_QR,2.5,3.2,0.0,0.1961,7.8,118,❌
IC_PCA_OLS,2.5,3.2,0.0,0.273,0.061,118,❌
