lat,lon,n_total,n_estres,ad_gamma,gamma_ok,ad_lognorm,lognorm_ok,ad_weibull,weibull_ok,mejor_ad
4.65,-76.0503,366,366,1.2785,False,2.5602,False,1.0727,False,weibull
4.65,-75.9503,366,366,0.4383,True,0.835,False,1.501,False,gamma
4.75,-75.9503,366,366,1.1953,False,2.0759,False,1.2234,False,gamma
4.75,-75.8503,366,366,1.779,False,3.2928,False,0.6297,True,weibull
4.85,-75.9503,366,366,5.5832,False,9.6169,False,0.7955,False,weibull
4.85,-75.8503,366,366,2.0478,False,3.7758,False,1.3329,False,weibull
4.85,-74.9503,366,265,4.6913,False,12.9063,False,2.3579,False,weibull
4.95,-75.9503,366,349,6.2415,False,14.4989,False,2.0323,False,weibull
4.95,-75.8503,366,364,5.1212,False,12.4967,False,1.0315,False,weibull
4.95,-75.7503,366,11,0.3971,True,0.8223,False,0.3527,True,weibull
4.95,-74.9503,366,184,1.2402,False,5.3374,False,0.6358,True,weibull
5.05,-75.8503,366,335,2.3981,False,7.8322,False,0.6058,True,weibull
5.05,-75.7503,366,42,0.8434,False,2.3527,False,0.8302,False,weibull
5.05,-74.9503,366,221,1.2196,False,5.8646,False,0.4893,True,weibull
5.15,-75.8503,366,215,0.6705,True,4.4935,False,0.4594,True,weibull
5.15,-75.6503,366,44,0.9476,False,0.6599,True,0.9794,False,lognorm
5.15,-75.5503,366,40,0.3756,True,1.1055,False,0.3259,True,weibull
5.15,-75.0503,366,45,0.3143,True,1.3049,False,0.4484,True,gamma
5.15,-74.9503,366,266,1.3937,False,5.967,False,0.4944,True,weibull
5.25,-75.8503,366,265,1.2227,False,6.0721,False,0.7145,True,weibull
5.25,-75.6503,366,96,0.4595,True,2.785,False,0.4288,True,weibull
5.25,-75.0503,366,10,0.4417,True,0.4878,True,0.4528,True,gamma
5.25,-74.9503,366,261,1.488,False,6.5444,False,0.8129,False,weibull
5.35,-75.5503,366,227,0.4803,True,4.3741,False,0.2847,True,weibull
5.35,-74.9503,366,296,0.9441,False,4.6739,False,0.3146,True,weibull
5.45,-75.5503,366,121,0.1773,True,1.0937,False,0.2052,True,gamma
5.45,-75.0503,366,202,1.3167,False,5.6295,False,0.7224,True,weibull
5.45,-74.9503,366,357,4.5649,False,12.3682,False,1.3843,False,weibull
5.55,-75.5503,366,57,0.5173,True,1.2639,False,0.5274,True,gamma
5.55,-75.1503,366,252,1.1604,False,5.8171,False,0.5949,True,weibull
5.55,-74.9503,366,366,2.0279,False,4.9734,False,1.7097,False,weibull
5.65,-75.5503,366,366,1.3926,False,5.1223,False,0.2269,True,weibull
5.65,-75.4503,366,366,0.6953,True,3.5018,False,0.7535,False,gamma
5.65,-75.1503,366,45,0.2751,True,0.2011,True,0.3601,True,lognorm
5.65,-75.0503,366,298,2.3092,False,8.5747,False,1.0556,False,weibull
5.65,-74.9503,366,366,1.5462,False,3.6373,False,1.6692,False,gamma
